# Circuit of the Americas — TUMFTM racetrack-database (LGPL-3.0), flat 2-D centre line + measured widths; upstream commit e59595d.
s_m,x_m,y_m,z_m,banking_deg,width_left_m,width_right_m,grip_scale
0.0000,0.9610,4.0223,0.0000,0.000,7.361,7.565,1.0000
5.0013,4.9352,0.9860,0.0000,0.000,7.382,7.584,1.0000
10.0027,8.9093,-2.0504,0.0000,0.000,7.403,7.603,1.0000
15.0040,12.8834,-5.0868,0.0000,0.000,7.424,7.622,1.0000
20.0053,16.8575,-8.1232,0.0000,0.000,7.444,7.641,1.0000
25.0066,20.8317,-11.1595,0.0000,0.000,7.465,7.659,1.0000
30.0079,24.8059,-14.1957,0.0000,0.000,7.486,7.678,1.0000
35.0092,28.7802,-17.2318,0.0000,0.000,7.507,7.697,1.0000
40.0106,32.7547,-20.2678,0.0000,0.000,7.528,7.716,1.0000
45.0119,36.7292,-23.3037,0.0000,0.000,7.549,7.735,1.0000
50.0133,40.7037,-26.3395,0.0000,0.000,7.569,7.754,1.0000
55.0146,44.6783,-29.3753,0.0000,0.000,7.590,7.773,1.0000
60.0160,48.6530,-32.4110,0.0000,0.000,7.611,7.792,1.0000
65.0173,52.6278,-35.4466,0.0000,0.000,7.632,7.810,1.0000
70.0187,56.6026,-38.4821,0.0000,0.000,7.653,7.829,1.0000
75.0201,60.5775,-41.5176,0.0000,0.000,7.673,7.848,1.0000
80.0214,64.5524,-44.5530,0.0000,0.000,7.694,7.867,1.0000
85.0228,68.5274,-47.5883,0.0000,0.000,7.715,7.886,1.0000
90.0242,72.5025,-50.6236,0.0000,0.000,7.736,7.905,1.0000
95.0256,76.4775,-53.6589,0.0000,0.000,7.757,7.924,1.0000
100.0270,80.4527,-56.6941,0.0000,0.000,7.778,7.942,1.0000
105.0284,84.4278,-59.7292,0.0000,0.000,7.798,7.961,1.0000
110.0298,88.4030,-62.7643,0.0000,0.000,7.819,7.980,1.0000
115.0312,92.3782,-65.7994,0.0000,0.000,7.840,7.999,1.0000
120.0326,96.3535,-68.8345,0.0000,0.000,7.861,8.018,1.0000
125.0341,100.3287,-71.8695,0.0000,0.000,7.882,8.037,1.0000
130.0355,104.3040,-74.9045,0.0000,0.000,7.903,8.056,1.0000
135.0369,108.2793,-77.9395,0.0000,0.000,7.923,8.075,1.0000
140.0383,112.2547,-80.9745,0.0000,0.000,7.944,8.093,1.0000
145.0397,116.2300,-84.0094,0.0000,0.000,7.965,8.112,1.0000
150.0412,120.2053,-87.0444,0.0000,0.000,7.986,8.131,1.0000
155.0426,124.1807,-90.0794,0.0000,0.000,8.007,8.150,1.0000
160.0440,128.1560,-93.1143,0.0000,0.000,8.028,8.169,1.0000
165.0455,132.1314,-96.1493,0.0000,0.000,8.048,8.188,1.0000
170.0469,136.1067,-99.1842,0.0000,0.000,8.069,8.207,1.0000
175.0484,140.0821,-102.2192,0.0000,0.000,8.090,8.226,1.0000
180.0498,144.0574,-105.2542,0.0000,0.000,8.111,8.244,1.0000
185.0512,148.0327,-108.2893,0.0000,0.000,8.132,8.263,1.0000
190.0527,152.0080,-111.3243,0.0000,0.000,8.153,8.282,1.0000
195.0541,155.9832,-114.3594,0.0000,0.000,8.173,8.301,1.0000
200.0556,159.9585,-117.3945,0.0000,0.000,8.194,8.320,1.0000
205.0570,163.9337,-120.4296,0.0000,0.000,8.215,8.339,1.0000
210.0585,167.9089,-123.4648,0.0000,0.000,8.236,8.358,1.0000
215.0599,171.8841,-126.5000,0.0000,0.000,8.257,8.377,1.0000
220.0614,175.8592,-129.5352,0.0000,0.000,8.278,8.395,1.0000
225.0628,179.8344,-132.5705,0.0000,0.000,8.298,8.414,1.0000
230.0643,183.8095,-135.6058,0.0000,0.000,8.319,8.433,1.0000
235.0657,187.7846,-138.6411,0.0000,0.000,8.340,8.452,1.0000
240.0672,191.7597,-141.6764,0.0000,0.000,8.361,8.471,1.0000
245.0686,195.7347,-144.7118,0.0000,0.000,8.382,8.490,1.0000
250.0701,199.7098,-147.7471,0.0000,0.000,8.403,8.509,1.0000
255.0715,203.6848,-150.7825,0.0000,0.000,8.423,8.527,1.0000
260.0730,207.6598,-153.8179,0.0000,0.000,8.444,8.546,1.0000
265.0744,211.6348,-156.8533,0.0000,0.000,8.465,8.565,1.0000
270.0758,215.6098,-159.8888,0.0000,0.000,8.486,8.584,1.0000
275.0773,219.5848,-162.9242,0.0000,0.000,8.507,8.603,1.0000
280.0787,223.5598,-165.9597,0.0000,0.000,8.528,8.622,1.0000
285.0802,227.5348,-168.9952,0.0000,0.000,8.548,8.641,1.0000
290.0816,231.5097,-172.0306,0.0000,0.000,8.569,8.660,1.0000
295.0831,235.4847,-175.0661,0.0000,0.000,8.590,8.678,1.0000
300.0845,239.4596,-178.1016,0.0000,0.000,8.611,8.697,1.0000
305.0860,243.4345,-181.1371,0.0000,0.000,8.632,8.716,1.0000
310.0874,247.4095,-184.1726,0.0000,0.000,8.652,8.735,1.0000
315.0888,251.3844,-187.2081,0.0000,0.000,8.673,8.754,1.0000
320.0903,255.3593,-190.2437,0.0000,0.000,8.694,8.773,1.0000
325.0917,259.3343,-193.2792,0.0000,0.000,8.715,8.792,1.0000
330.0931,263.3092,-196.3147,0.0000,0.000,8.736,8.811,1.0000
335.0946,267.2841,-199.3502,0.0000,0.000,8.757,8.829,1.0000
340.0960,271.2590,-202.3857,0.0000,0.000,8.777,8.848,1.0000
345.0974,275.2340,-205.4212,0.0000,0.000,8.798,8.867,1.0000
350.0989,279.2089,-208.4567,0.0000,0.000,8.819,8.886,1.0000
355.1003,283.1838,-211.4922,0.0000,0.000,8.840,8.905,1.0000
360.1017,287.1588,-214.5276,0.0000,0.000,8.861,8.924,1.0000
365.1031,291.1337,-217.5631,0.0000,0.000,8.882,8.943,1.0000
370.1046,295.1087,-220.5986,0.0000,0.000,8.902,8.962,1.0000
375.1060,299.0836,-223.6340,0.0000,0.000,8.923,8.980,1.0000
380.1074,303.0586,-226.6694,0.0000,0.000,8.944,8.999,1.0000
385.1088,307.0336,-229.7048,0.0000,0.000,8.965,9.018,1.0000
390.1102,311.0085,-232.7402,0.0000,0.000,8.986,9.037,1.0000
395.1116,314.9835,-235.7756,0.0000,0.000,9.007,9.056,1.0000
400.1130,318.9585,-238.8110,0.0000,0.000,9.027,9.075,1.0000
405.1144,322.9336,-241.8463,0.0000,0.000,9.048,9.094,1.0000
410.1158,326.9086,-244.8816,0.0000,0.000,9.069,9.112,1.0000
415.1172,330.8836,-247.9169,0.0000,0.000,9.090,9.131,1.0000
420.1186,334.8587,-250.9522,0.0000,0.000,9.111,9.150,1.0000
425.1200,338.8338,-253.9874,0.0000,0.000,9.132,9.169,1.0000
430.1214,342.8089,-257.0226,0.0000,0.000,9.152,9.188,1.0000
435.1228,346.7840,-260.0578,0.0000,0.000,9.173,9.207,1.0000
440.1242,350.7591,-263.0929,0.0000,0.000,9.194,9.226,1.0000
445.1255,354.7343,-266.1281,0.0000,0.000,9.215,9.245,1.0000
450.1269,358.7094,-269.1631,0.0000,0.000,9.236,9.263,1.0000
455.1283,362.6846,-272.1982,0.0000,0.000,9.257,9.282,1.0000
460.1296,366.6598,-275.2332,0.0000,0.000,9.277,9.301,1.0000
465.1310,370.6351,-278.2682,0.0000,0.000,9.298,9.320,1.0000
470.1324,374.6103,-281.3031,0.0000,0.000,9.319,9.339,1.0000
475.1337,378.5856,-284.3381,0.0000,0.000,9.340,9.358,1.0000
480.1351,382.5609,-287.3729,0.0000,0.000,9.361,9.377,1.0000
485.1364,386.5363,-290.4077,0.0000,0.000,9.382,9.396,1.0000
490.1378,390.5116,-293.4425,0.0000,0.000,9.402,9.414,1.0000
495.1391,394.4870,-296.4773,0.0000,0.000,9.423,9.433,1.0000
500.1404,398.4625,-299.5119,0.0000,0.000,9.444,9.452,1.0000
505.1418,402.4379,-302.5466,0.0000,0.000,9.465,9.471,1.0000
510.1431,406.4134,-305.5812,0.0000,0.000,9.486,9.490,1.0000
515.1444,410.3889,-308.6157,0.0000,0.000,9.507,9.509,1.0000
520.1457,414.3645,-311.6502,0.0000,0.000,9.527,9.528,1.0000
525.1470,418.3401,-314.6847,0.0000,0.000,9.548,9.547,1.0000
530.1484,422.3157,-317.7190,0.0000,0.000,9.569,9.565,1.0000
535.1497,426.2914,-320.7534,0.0000,0.000,9.590,9.584,1.0000
540.1510,430.2670,-323.7877,0.0000,0.000,9.611,9.603,1.0000
545.1523,434.2426,-326.8221,0.0000,0.000,9.631,9.622,1.0000
550.1537,438.2177,-329.8575,0.0000,0.000,9.652,9.641,1.0000
555.1554,442.1919,-332.8943,0.0000,0.000,9.673,9.660,1.0000
560.1574,446.1649,-335.9333,0.0000,0.000,9.694,9.679,1.0000
565.1598,450.1361,-338.9752,0.0000,0.000,9.715,9.697,1.0000
570.1628,454.1054,-342.0207,0.0000,0.000,9.817,9.834,1.0000
575.1663,458.0721,-345.0703,0.0000,0.000,10.063,10.174,1.0000
580.1706,462.0360,-348.1249,0.0000,0.000,10.308,10.514,1.0000
585.1752,465.9993,-351.1807,0.0000,0.000,10.553,10.855,1.0000
590.1704,470.0168,-354.1493,0.0000,0.000,10.799,11.195,1.0000
595.1500,474.1913,-356.8639,0.0000,0.000,11.118,11.549,1.0000
600.1368,478.5710,-359.2485,0.0000,0.000,11.577,11.930,1.0000
605.1415,483.0517,-361.4781,0.0000,0.000,12.037,12.310,1.0000
610.1519,487.5362,-363.7125,0.0000,0.000,12.496,12.690,1.0000
615.1624,492.0155,-365.9578,0.0000,0.000,12.956,13.070,1.0000
620.1693,496.4949,-368.1949,0.0000,0.000,13.207,13.354,1.0000
625.1689,500.9797,-370.4044,0.0000,0.000,13.332,13.579,1.0000
630.1574,505.4850,-372.5462,0.0000,0.000,13.457,13.805,1.0000
635.1342,510.0516,-374.5246,0.0000,0.000,13.581,14.031,1.0000
640.1102,514.7246,-376.2348,0.0000,0.000,13.499,13.864,1.0000
645.1164,519.5490,-377.5718,0.0000,0.000,13.365,13.601,1.0000
650.1821,524.5466,-378.3988,0.0000,0.000,12.962,13.230,1.0000
655.1672,529.5306,-378.2919,0.0000,0.000,12.048,12.393,1.0000
660.1049,534.1989,-376.6832,0.0000,0.000,11.019,11.418,1.0000
665.0867,537.9886,-373.4496,0.0000,0.000,10.486,11.340,1.0000
669.8297,539.9616,-369.1364,0.0000,0.000,8.533,8.944,1.0000
674.7012,539.9205,-364.2650,0.0000,0.000,8.241,8.729,1.0000
679.8522,538.7728,-359.2435,0.0000,0.000,8.130,8.409,1.0000
684.9060,537.3643,-354.3900,0.0000,0.000,8.079,7.870,1.0000
689.8570,535.8902,-349.6635,0.0000,0.000,7.801,7.733,1.0000
694.8159,534.3642,-344.9452,0.0000,0.000,7.524,7.596,1.0000
699.7999,532.7965,-340.2142,0.0000,0.000,7.246,7.459,1.0000
704.8002,531.1966,-335.4768,0.0000,0.000,7.205,7.380,1.0000
709.8082,529.5737,-330.7391,0.0000,0.000,7.171,7.302,1.0000
714.8163,527.9360,-326.0063,0.0000,0.000,7.136,7.225,1.0000
719.8231,526.2862,-321.2791,0.0000,0.000,7.102,7.148,1.0000
724.8287,524.6258,-316.5569,0.0000,0.000,7.057,7.091,1.0000
729.8333,522.9559,-311.8391,0.0000,0.000,7.011,7.039,1.0000
734.8369,521.2781,-307.1252,0.0000,0.000,6.964,6.987,1.0000
739.8397,519.5936,-302.4146,0.0000,0.000,6.918,6.935,1.0000
744.8417,517.9038,-297.7066,0.0000,0.000,6.871,6.883,1.0000
749.8431,516.2100,-293.0008,0.0000,0.000,6.825,6.831,1.0000
754.8439,514.5136,-288.2965,0.0000,0.000,6.779,6.779,1.0000
759.8442,512.8159,-283.5932,0.0000,0.000,6.732,6.727,1.0000
764.8442,511.1182,-278.8903,0.0000,0.000,6.686,6.675,1.0000
769.8438,509.4220,-274.1872,0.0000,0.000,6.639,6.623,1.0000
774.8433,507.7285,-269.4833,0.0000,0.000,6.593,6.571,1.0000
779.8426,506.0390,-264.7780,0.0000,0.000,6.547,6.519,1.0000
784.8419,504.3550,-260.0709,0.0000,0.000,6.500,6.467,1.0000
789.8413,502.6778,-255.3612,0.0000,0.000,6.454,6.415,1.0000
794.8409,501.0087,-250.6485,0.0000,0.000,6.407,6.363,1.0000
799.8409,499.3481,-245.9324,0.0000,0.000,6.361,6.311,1.0000
804.8418,497.6885,-241.2148,0.0000,0.000,6.314,6.259,1.0000
809.8446,496.0188,-236.4989,0.0000,0.000,6.268,6.207,1.0000
814.8502,494.3277,-231.7876,0.0000,0.000,6.222,6.156,1.0000
819.8597,492.6046,-227.0838,0.0000,0.000,6.170,6.104,1.0000
824.8713,490.8671,-222.3830,0.0000,0.000,6.085,6.059,1.0000
829.8797,489.1718,-217.6702,0.0000,0.000,6.001,6.013,1.0000
834.8808,487.5779,-212.9300,0.0000,0.000,5.917,5.967,1.0000
839.8742,486.1446,-208.1467,0.0000,0.000,5.930,5.859,1.0000
844.8639,484.9246,-203.3084,0.0000,0.000,5.982,5.733,1.0000
849.8512,483.9426,-198.4187,0.0000,0.000,6.087,5.715,1.0000
854.8376,483.2157,-193.4856,0.0000,0.000,6.099,5.799,1.0000
859.8270,482.7609,-188.5169,0.0000,0.000,6.023,5.958,1.0000
864.8259,482.5941,-183.5208,0.0000,0.000,5.873,5.910,1.0000
869.8372,482.7094,-178.5109,0.0000,0.000,5.860,5.897,1.0000
874.8567,483.0835,-173.5054,0.0000,0.000,5.904,5.899,1.0000
879.8768,483.6925,-168.5224,0.0000,0.000,5.935,5.924,1.0000
884.8872,484.5132,-163.5796,0.0000,0.000,5.977,5.912,1.0000
889.8853,485.5328,-158.6866,0.0000,0.000,6.035,5.849,1.0000
894.8752,486.7466,-153.8466,0.0000,0.000,6.025,5.846,1.0000
899.8609,488.1501,-149.0625,0.0000,0.000,5.991,5.863,1.0000
904.8461,489.7389,-144.3373,0.0000,0.000,6.033,5.829,1.0000
909.8340,491.5085,-139.6739,0.0000,0.000,6.049,5.830,1.0000
914.8275,493.4545,-135.0752,0.0000,0.000,5.984,5.941,1.0000
919.8290,495.5725,-130.5442,0.0000,0.000,5.970,5.938,1.0000
924.8408,497.8581,-126.0839,0.0000,0.000,6.005,5.828,1.0000
929.8631,500.3089,-121.7002,0.0000,0.000,5.889,5.879,1.0000
934.8850,502.9400,-117.4227,0.0000,0.000,5.804,5.937,1.0000
939.8947,505.7742,-113.2918,0.0000,0.000,6.057,5.867,1.0000
944.8867,508.8345,-109.3478,0.0000,0.000,6.112,5.914,1.0000
949.8632,512.1430,-105.6304,0.0000,0.000,5.928,6.105,1.0000
954.8373,515.6929,-102.1462,0.0000,0.000,6.089,5.913,1.0000
959.8214,519.4392,-98.8588,0.0000,0.000,6.347,5.611,1.0000
964.8182,523.3340,-95.7286,0.0000,0.000,6.095,5.860,1.0000
969.8223,527.3297,-92.7161,0.0000,0.000,5.929,6.040,1.0000
974.8253,531.3854,-89.7868,0.0000,0.000,6.047,6.000,1.0000
979.8265,535.4876,-86.9259,0.0000,0.000,6.121,5.993,1.0000
984.8273,539.6296,-84.1239,0.0000,0.000,6.063,6.084,1.0000
989.8283,543.8049,-81.3711,0.0000,0.000,6.005,6.176,1.0000
994.8299,548.0067,-78.6581,0.0000,0.000,6.041,6.138,1.0000
999.8322,552.2286,-75.9751,0.0000,0.000,6.083,6.091,1.0000
1004.8348,556.4638,-73.3126,0.0000,0.000,6.125,6.044,1.0000
1009.8374,560.7058,-70.6610,0.0000,0.000,6.167,5.997,1.0000
1014.8394,564.9480,-68.0106,0.0000,0.000,6.178,5.981,1.0000
1019.8406,569.1860,-65.3552,0.0000,0.000,6.171,5.984,1.0000
1024.8411,573.4205,-62.6956,0.0000,0.000,6.164,5.987,1.0000
1029.8411,577.6530,-60.0335,0.0000,0.000,6.157,5.990,1.0000
1034.8408,581.8847,-57.3709,0.0000,0.000,6.150,5.994,1.0000
1039.8404,586.1171,-54.7095,0.0000,0.000,6.143,5.997,1.0000
1044.8402,590.3515,-52.0511,0.0000,0.000,6.136,6.000,1.0000
1049.8403,594.5894,-49.3975,0.0000,0.000,6.129,6.003,1.0000
1054.8409,598.8321,-46.7506,0.0000,0.000,6.122,6.007,1.0000
1059.8423,603.0807,-44.1119,0.0000,0.000,6.115,6.010,1.0000
1064.8444,607.3348,-41.4805,0.0000,0.000,6.108,6.013,1.0000
1069.8471,611.5930,-38.8548,0.0000,0.000,6.101,6.016,1.0000
1074.8503,615.8541,-36.2328,0.0000,0.000,6.094,6.020,1.0000
1079.8537,620.1168,-33.6129,0.0000,0.000,6.087,6.023,1.0000
1084.8573,624.3798,-30.9933,0.0000,0.000,6.080,6.026,1.0000
1089.8608,628.6419,-28.3721,0.0000,0.000,6.074,6.029,1.0000
1094.8642,632.9017,-25.7477,0.0000,0.000,6.067,6.033,1.0000
1099.8673,637.1579,-23.1181,0.0000,0.000,6.060,6.036,1.0000
1104.8698,641.4094,-20.4816,0.0000,0.000,6.053,6.039,1.0000
1109.8718,645.6548,-17.8365,0.0000,0.000,6.046,6.042,1.0000
1114.8731,649.8928,-15.1810,0.0000,0.000,6.039,6.046,1.0000
1119.8735,654.1221,-12.5132,0.0000,0.000,6.032,6.049,1.0000
1124.8731,658.3415,-9.8314,0.0000,0.000,6.025,6.052,1.0000
1129.8717,662.5498,-7.1339,0.0000,0.000,5.897,6.092,1.0000
1134.8693,666.7455,-4.4187,0.0000,0.000,5.760,6.135,1.0000
1139.8659,670.9275,-1.6842,0.0000,0.000,5.624,6.177,1.0000
1144.8612,675.0922,1.0740,0.0000,0.000,5.631,6.173,1.0000
1149.8504,679.2056,3.8974,0.0000,0.000,5.761,6.129,1.0000
1154.8290,683.2106,6.8549,0.0000,0.000,5.892,6.086,1.0000
1159.8020,687.0496,10.0162,0.0000,0.000,6.016,6.045,1.0000
1164.7888,690.6652,13.4505,0.0000,0.000,5.866,6.164,1.0000
1169.8115,694.0191,17.1894,0.0000,0.000,5.854,6.129,1.0000
1174.8643,697.1140,21.1834,0.0000,0.000,6.073,5.838,1.0000
1179.9275,699.9576,25.3726,0.0000,0.000,6.000,5.847,1.0000
1184.9737,702.5581,29.6972,0.0000,0.000,5.780,6.012,1.0000
1189.9747,704.9258,34.1022,0.0000,0.000,5.795,6.000,1.0000
1194.9368,707.0904,38.5673,0.0000,0.000,5.803,5.952,1.0000
1199.8785,709.0895,43.0866,0.0000,0.000,5.803,5.862,1.0000
1204.8147,710.9606,47.6543,0.0000,0.000,5.759,5.804,1.0000
1209.7572,712.7414,52.2649,0.0000,0.000,5.645,5.796,1.0000
1214.7156,714.4694,56.9125,0.0000,0.000,5.597,5.783,1.0000
1219.6982,716.1822,61.5914,0.0000,0.000,5.718,5.758,1.0000
1224.7125,717.9175,66.2959,0.0000,0.000,5.780,5.818,1.0000
1229.7660,719.7127,71.0198,0.0000,0.000,5.738,6.024,1.0000
1234.8512,721.6016,75.7412,0.0000,0.000,5.838,6.022,1.0000
1239.9434,723.6136,80.4191,0.0000,0.000,5.995,5.932,1.0000
1245.0200,725.7777,85.0112,0.0000,0.000,6.202,5.714,1.0000
1250.0627,728.1229,89.4754,0.0000,0.000,6.358,5.562,1.0000
1255.0596,730.6783,93.7695,0.0000,0.000,6.212,5.827,1.0000
1260.0064,733.4728,97.8513,0.0000,0.000,6.096,6.052,1.0000
1264.9083,736.5357,101.6785,0.0000,0.000,6.004,6.245,1.0000
1269.7822,739.8958,105.2090,0.0000,0.000,6.120,5.981,1.0000
1274.6580,743.5790,108.4040,0.0000,0.000,6.309,5.556,1.0000
1279.5698,747.5675,111.2705,0.0000,0.000,6.262,5.705,1.0000
1284.5361,751.8125,113.8481,0.0000,0.000,6.161,5.986,1.0000
1289.5606,756.2646,116.1772,0.0000,0.000,6.148,6.015,1.0000
1294.6347,760.8742,118.2981,0.0000,0.000,6.138,6.038,1.0000
1299.7408,765.5920,120.2512,0.0000,0.000,6.165,6.113,1.0000
1304.8542,770.3684,122.0767,0.0000,0.000,6.194,6.190,1.0000
1309.9457,775.1541,123.8150,0.0000,0.000,6.189,6.229,1.0000
1314.9837,779.8995,125.5066,0.0000,0.000,6.094,6.166,1.0000
1319.9481,784.5599,127.2172,0.0000,0.000,5.999,6.104,1.0000
1324.8490,789.1000,129.0631,0.0000,0.000,5.915,6.056,1.0000
1329.7130,793.4854,131.1669,0.0000,0.000,5.837,6.018,1.0000
1334.5900,797.6821,133.6512,0.0000,0.000,5.757,6.065,1.0000
1339.5535,801.6695,136.6072,0.0000,0.000,5.802,6.032,1.0000
1344.6297,805.5163,139.9193,0.0000,0.000,6.012,5.881,1.0000
1349.7825,809.3220,143.3932,0.0000,0.000,5.951,5.902,1.0000
1354.9252,813.0120,146.9754,0.0000,0.000,5.862,5.932,1.0000
1359.9587,816.3118,150.7763,0.0000,0.000,5.774,5.954,1.0000
1364.8863,819.0891,154.8467,0.0000,0.000,5.713,6.128,1.0000
1369.7722,821.3902,159.1567,0.0000,0.000,5.775,6.003,1.0000
